timestamp_ns,seq,real,imag
1775059750379993523,10191,0x555C000A,0xAAAC0005
1775059750380005295,10192,0x555C000A,0xAAAC0005
1775059750380017119,10193,0x555C000A,0xAAAC0005
1775059750380028369,10194,0x555C000A,0xAAAC0005
1775059750380040089,10195,0x555C000A,0xAAAC0005
1775059750380051860,10196,0x555C000A,0xAAAC0005
1775059750380066913,10197,0x555C000A,0xAAAC0005
1775059750380078998,10198,0x555C000A,0xAAAC0005
1775059750380090978,10199,0x555C000A,0xAAAC0005
1775059750380102749,10200,0x555C000A,0xAAAC0005
1775059750380113948,10201,0x555C000A,0xAAAC0005
1775059750380125303,10202,0x555C000A,0xAAAC0005
1775059750380136553,10203,0x555C000A,0xAAAC0005
1775059750380148012,10204,0x555C000A,0xAAAC0005
1775059750380159211,10205,0x555C000A,0xAAAC0005
1775059750380170722,10206,0x555C000A,0xAAAC0005
1775059750380182129,10207,0x555C000A,0xAAAC0005
1775059750380193692,10208,0x555C000A,0xAAAC0005
1775059750380204891,10209,0x555C000A,0xAAAC0005
1775059750380216194,10210,0x555C000A,0xAAAC0005
1775059750380227601,10211,0x555C000A,0xAAAC0005
1775059750380239841,10212,0x555C000A,0xAAAC0005
1775059750380251508,10213,0x555C000A,0xAAAC0005
1775059750380263124,10214,0x555C000A,0xAAAA0000
1775059750380274374,10215,0x00920000,0x00940005
1775059750380286042,10216,0x555C000A,0xAAAC0005
1775059750380297397,10217,0x555C000A,0xAAAC0005
1775059750380308856,10218,0x555C000A,0xAAAC0005
1775059750380320888,10219,0x555C000A,0xAAAC0005
1775059750380333493,10220,0x555C000A,0xAAAC0005
1775059750380345316,10221,0x555C000A,0xAAAC0005
1775059750380356880,10222,0x555C000A,0xAAAC0005
1775059750380368130,10223,0x555C000A,0xAAAC0005
1775059750380379798,10224,0x555C000A,0xAAAC0005
1775059750380390944,10225,0x555C000A,0xAAAC0005
1775059750380403133,10226,0x555C000A,0xAAAC0005
1775059750380414331,10227,0x555C000A,0xAAAC0005
1775059750380425790,10228,0x555C000A,0xAAAC0005
1775059750380436989,10229,0x555C000A,0xAAAC0005
1775059750380449646,10230,0x555C000A,0xAAAC0005
1775059750380460897,10231,0x555C000A,0xAAAC0005
1775059750380472512,10232,0x555C000A,0xAAAC0005
1775059750380484179,10233,0x555C000A,0xAAAC0005
1775059750380495951,10234,0x555C000A,0xAAAC0005
1775059750380507983,10235,0x555C000A,0xAAAC0005
